学号 数学成绩 语文成绩
10101611101 75 69
10101611102 52 45
10101611103 81 76
10101611104 77 71
10101611105 78 73
10101611106 90 87
10101611107 97 96
10101611108 82 77
10101611109 66 58
10101611110 55 49
10101611111 64 58
10101611112 85 81
10101611114 54 48
10101611116 50 43
10101611117 90 88
10101611118 90 87
10101611119 73 66
10101611120 79 74
10101611121 72 65
10101611122 66 60
10101611123 50 42
10101611124 96 95
10101611125 92 90
10101611126 89 86
10101611127 75 69
10101611129 72 65
10101611130 91 89
10101611131 62 53
10101611132 68 60
10101611133 70 63
10101611134 72 65
10101611136 89 86
10101611138 80 75
10101611139 86 82
10101611140 78 72
10101611141 94 92
10101611142 70 62
10101611143 75 69
10101611144 82 78
10101611145 74 73
10101611146 80 75
10101611147 78 72
10101611148 72 68
